DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
circle,sgd,mse,5,1.796906831902313,0.01691902945708044,0.9644444444444444,0.9644398754735777,0.005784714128822088,1.0,1.0,81.14096856117249,0.01994602382183075,0.972,0.9719966369732759,0.022222222222222223
circle,sgd,mse,5,2.9974212515947047,0.018051140719643016,0.9488888888888889,0.9488934321885095,0.02451227977871895,0.96,0.9599679487179487,87.08977389335632,0.03874113783240318,0.95,0.9500072004608295,0.011111111111111112
circle,sgd,mse,5,5.0,0.034342713650010764,0.9711111111111111,0.9710853812743967,0.006464824546128511,0.99,0.9899969972975677,79.95985889434814,0.02282833121716976,0.971,0.9709751546882437,0.011111111111111112
circle,sgd,mse,6,0.05,0.03502715572080584,0.9855555555555555,0.9855574285038025,0.025196030735969543,0.99,0.9900010001000099,70.89090609550476,0.03455565124750137,0.989,0.9890007594017235,0.15333333333333332
circle,sgd,mse,6,0.08340502686000296,0.02589772476132983,0.99,0.9900007040174696,0.01739286631345749,0.99,0.9900010001000099,67.50410962104797,0.024748848751187325,0.988,0.9879985587028325,0.20666666666666667
circle,sgd,mse,6,0.1391279701103562,0.019879790618048575,0.9855555555555555,0.985554217074217,0.012933511286973953,1.0,1.0,68.29536437988281,0.01894589141011238,0.989,0.9889974562298343,0.20666666666666667
circle,sgd,mse,6,0.23207944168063888,0.016705989114277835,0.98,0.9799920887640671,0.008434806950390339,0.99,0.9899969972975677,73.83105993270874,0.015508430078625679,0.987,0.9869958999774725,0.1
circle,sgd,mse,6,0.38713184134056344,0.015258943867334071,0.9755555555555555,0.9755483047006962,0.004686275962740183,1.0,1.0,83.25223922729492,0.013581625185906887,0.985,0.9849952692047758,0.15333333333333332
circle,sgd,mse,6,0.6457748325074419,0.0182027728932454,0.9566666666666667,0.9565956784658393,0.004021856933832169,1.0,1.0,75.64210820198059,0.020611250773072243,0.97,0.9699593300283968,0.1
circle,sgd,mse,6,1.0772173450159417,0.022666900267098066,0.9588888888888889,0.9588850793650795,0.003390743164345622,1.0,1.0,72.00525236129761,0.024813925847411156,0.966,0.9659934653084759,0.1
circle,sgd,mse,6,1.796906831902313,0.02469370850079482,0.9688888888888889,0.9688408179975305,0.00564924580976367,0.99,0.9899969972975677,69.05750560760498,0.019162388518452644,0.974,0.9739687218045112,0.1
circle,sgd,mse,6,2.9974212515947047,0.02151980306953574,0.9511111111111111,0.9510864504019179,0.02906770631670952,0.96,0.9599036531513448,72.46965956687927,0.028090696781873703,0.96,0.9599855813133821,0.013333333333333334
circle,sgd,mse,6,5.0,0.026757282442059313,0.9544444444444444,0.954433015568565,0.001218245248310268,1.0,1.0,71.08241271972656,0.026282675564289093,0.966,0.9659934653084759,0.013333333333333334
circle,sgd,mse,7,0.05,0.03844979810239675,0.9811111111111112,0.9811138400755494,0.028375163674354553,0.99,0.9900010001000099,63.93965411186218,0.040178414434194565,0.981,0.9810019958801831,0.10077519379844961
circle,sgd,mse,7,0.08340502686000296,0.027677303068195432,0.9866666666666667,0.9866678523261158,0.018559785559773445,0.99,0.9900010001000099,66.87301707267761,0.026973746716976166,0.995,0.9950001250781738,0.10077519379844961
circle,sgd,mse,7,0.1391279701103562,0.021996462778609616,0.9822222222222222,0.9822222222222222,0.014010834507644176,0.99,0.9900010001000099,62.601417541503906,0.02035926841199398,0.988,0.9879967322224492,0.10077519379844961
circle,sgd,mse,7,0.23207944168063888,0.01743020658845718,0.9811111111111112,0.9811004846149356,0.010187056846916676,1.0,1.0,59.770267963409424,0.016925156116485596,0.986,0.9859949534596838,0.023255813953488372
circle,sgd,mse,7,0.38713184134056344,0.015299004203289057,0.9688888888888889,0.9688565550985934,0.00871730875223875,0.99,0.9899969972975677,64.7242796421051,0.016385069116950035,0.974,0.9739724805952917,0.031007751937984496
circle,sgd,mse,7,0.6457748325074419,0.015673777694814692,0.9533333333333334,0.9532612269962956,0.014813685789704323,0.98,0.9799839743589743,63.77514624595642,0.02239563874900341,0.97,0.9699593300283968,0.023255813953488372
circle,sgd,mse,7,1.0772173450159417,0.027452800813708676,0.97,0.969950854322504,0.001933676772750914,1.0,1.0,64.74218988418579,0.0162464901804924,0.978,0.977976714349862,0.023255813953488372
circle,sgd,mse,7,1.796906831902313,0.04288816660486842,0.9577777777777777,0.9577514640709084,0.01800602115690708,0.97,0.9699548872180452,66.1059455871582,0.02509104460477829,0.966,0.9659640130861505,0.023255813953488372
circle,sgd,mse,7,2.9974212515947047,0.019959943264440685,0.9466666666666667,0.9465636065747053,0.018917255103588104,0.97,0.9699548872180452,63.86168050765991,0.028289852663874626,0.96,0.9599181051786432,0.015503875968992248
circle,sgd,mse,7,5.0,0.016952858472377923,0.9655555555555555,0.9654854454797219,0.0005261898622848094,1.0,1.0,62.400254011154175,0.021454181522130966,0.969,0.9689450444494162,0.015503875968992248
circle,sgd,mse,9,0.05,0.04529821601812728,0.9788888888888889,0.9788919389079669,0.03305916488170624,0.98,0.98,50.25258421897888,0.04555929824709892,0.98,0.9800028809334225,0.1
circle,sgd,mse,9,0.08340502686000296,0.032290283948241266,0.9866666666666667,0.9866682474131742,0.022687938064336777,0.99,0.9900010001000099,47.42817950248718,0.032606806606054306,0.99,0.9900008804261262,0.1
circle,sgd,mse,9,0.1391279701103562,0.0247850024886975,0.9855555555555555,0.9855570718715965,0.017618481069803238,0.98,0.98,50.473390340805054,0.02313026413321495,0.987,0.9869988680480283,0.1
circle,sgd,mse,9,0.23207944168063888,0.019773875441946986,0.9822222222222222,0.9822199377367888,0.012641754001379013,0.99,0.9900010001000099,44.35674548149109,0.019273847341537476,0.988,0.9879967322224492,0.1
circle,sgd,mse,9,0.38713184134056344,0.01660254522294701,0.9766666666666667,0.9766475319705273,0.009088587015867233,0.99,0.9899969972975677,42.79437255859375,0.01600625365972519,0.976,0.9759745974725768,0.1
